model,fold,feature,group,kind,mean_abs_prob_delta
logistic,1,volume_change_5,trading_activity,bottom,0.0008594023739680621
logistic,1,macd,momentum,bottom,0.00022648393654306416
logistic,1,macd_hist,momentum,bottom,0.0003656364927324002
logistic,1,rv_21,volatility,bottom,0.001906466334824024
logistic,1,ret_lag_5,momentum,bottom,0.0007937276176548144
logistic,2,close_sma_20,trend,top,0.05879713922583347
logistic,2,close_ema_12,trend,top,0.0436442474957285
logistic,2,close_ema_26,trend,top,0.016807242211114463
logistic,2,close_sma_10,trend,top,0.025912640971123828
logistic,2,close_sma_50,trend,top,0.01778091559110615
logistic,2,volume_change_5,trading_activity,bottom,0.0037326711248980315
logistic,2,macd,momentum,bottom,0.0008654021270587436
logistic,2,macd_hist,momentum,bottom,8.236622662766438e-05
logistic,2,rv_21,volatility,bottom,0.0012582591711410916
logistic,2,ret_lag_5,momentum,bottom,0.0002989326789822057
logistic,3,close_sma_20,trend,top,0.07165015947538712
logistic,3,close_ema_12,trend,top,0.048558102866400055
logistic,3,close_ema_26,trend,top,0.021206887768730646
logistic,3,close_sma_10,trend,top,0.02939573182034336
logistic,3,close_sma_50,trend,top,0.017215676173700713
logistic,3,volume_change_5,trading_activity,bottom,0.005447335579118541
logistic,3,macd,momentum,bottom,0.0016804253140765312
logistic,3,macd_hist,momentum,bottom,0.0009843655082576955
logistic,3,rv_21,volatility,bottom,0.001522205562468278
logistic,3,ret_lag_5,momentum,bottom,0.001049666773329028
logistic,4,close_sma_20,trend,top,0.08083755040246633
logistic,4,close_ema_12,trend,top,0.04711202068054685
logistic,4,close_ema_26,trend,top,0.03273997200128527
logistic,4,close_sma_10,trend,top,0.03173910078102124
logistic,4,close_sma_50,trend,top,0.021208458499611973
logistic,4,volume_change_5,trading_activity,bottom,0.0045220584734393466
logistic,4,macd,momentum,bottom,0.0016155945275662426
logistic,4,macd_hist,momentum,bottom,0.002212007493879303
logistic,4,rv_21,volatility,bottom,0.0011798775288433723
logistic,4,ret_lag_5,momentum,bottom,0.0006886923675198875
logistic,5,close_sma_20,trend,top,0.09830996368071375
logistic,5,close_ema_12,trend,top,0.05769769422774303
logistic,5,close_ema_26,trend,top,0.05724398323357883
logistic,5,close_sma_10,trend,top,0.03637356176212352
logistic,5,close_sma_50,trend,top,0.03580905870206204
logistic,5,volume_change_5,trading_activity,bottom,0.0031674964053243237
logistic,5,macd,momentum,bottom,0.0027582817363222775
logistic,5,macd_hist,momentum,bottom,0.004864240308343347
logistic,5,rv_21,volatility,bottom,0.0011205860206675796
logistic,5,ret_lag_5,momentum,bottom,0.0009169931909097609
logistic,6,close_sma_20,trend,top,0.11913774532110954
logistic,6,close_ema_12,trend,top,0.06615117530786244
logistic,6,close_ema_26,trend,top,0.08918453403295823
logistic,6,close_sma_10,trend,top,0.048545035052867884
logistic,6,close_sma_50,trend,top,0.0506263469026717
logistic,6,volume_change_5,trading_activity,bottom,0.0022567393261609097
logistic,6,macd,momentum,bottom,0.0033283873787236054
logistic,6,macd_hist,momentum,bottom,0.0037954204371852566
logistic,6,rv_21,volatility,bottom,0.00022854963401640834
logistic,6,ret_lag_5,momentum,bottom,0.001575242013075201
logistic,7,close_sma_20,trend,top,0.12071422131765487
logistic,7,close_ema_12,trend,top,0.06356014539418309
logistic,7,close_ema_26,trend,top,0.09125052701844487
logistic,7,close_sma_10,trend,top,0.04919232196874003
logistic,7,close_sma_50,trend,top,0.05884417816013656
logistic,7,volume_change_5,trading_activity,bottom,0.001980909682966579
logistic,7,macd,momentum,bottom,0.006784126537469379
logistic,7,macd_hist,momentum,bottom,0.002078112791521522
logistic,7,rv_21,volatility,bottom,0.0009988205463534886
logistic,7,ret_lag_5,momentum,bottom,0.002231281469760116
