model,term,coefficient,p_value,pseudo_r2
xgboost,consistency_z,-0.05450719605216044,0.007894906482012954,0.0005466829271481011
xgboost,confidence_z,-0.00608009912876456,0.7667451225414667,0.0005466829271481011
logistic,consistency_z,0.025312537771824625,0.21664851090824833,0.00012076553687079272
logistic,confidence_z,0.006481881161556986,0.7517358106012958,0.00012076553687079272
