model,n,accuracy,precision,recall,f1,roc_auc,mcc
majority_class,9598,0.5212544280058345,0.5212544280058345,1.0,0.6852955277035819,0.5,0.0
persistence,9598,0.48978953948739323,0.5101883890811226,0.5304817109734159,0.5201371876531112,0.4964472024076087,-0.024097459656496272
