model,regime,n,accuracy,precision,recall,f1,roc_auc,mcc
logistic,high,3240,0.5095679012345679,0.5414312617702448,0.6515580736543909,0.5914116739521728,0.49071954674220963,-0.009202344923884316
logistic,low,3168,0.494949494949495,0.5002565418163161,0.6089943785134291,0.5492957746478874,0.4898912493667208,-0.012922533346157004
logistic,medium,3190,0.5015673981191222,0.5126548196015078,0.5815516188149054,0.5449341728677733,0.502353613574688,-0.0012074472846460124
xgboost,high,3240,0.5080246913580246,0.5395284327323162,0.6611898016997168,0.5941955193482689,0.4859620684688145,-0.014868068800593938
xgboost,low,3168,0.4984217171717172,0.5033296337402886,0.5665209244222361,0.5330590655304144,0.4861985987538898,-0.004678400651627659
xgboost,medium,3190,0.5109717868338558,0.519533231861999,0.6255345143555284,0.5676274944567627,0.5139102554773094,0.01619805629704153
