model,n,auc_consistency_vs_correct,auc_confidence_vs_correct,accuracy_low_consistency,accuracy_high_consistency,accuracy_all
xgboost,9548,0.4880961664313145,0.49680930524880673,0.5142438206954336,0.4976958525345622,0.505969836614998
logistic,9548,0.5097159361730106,0.5012648445866613,0.4997905320485966,0.5050272308336824,0.5024088814411395
