model,n,accuracy,precision,recall,f1,roc_auc,mcc
logistic,9598,0.5020837674515524,0.5188870151770658,0.6150309814111533,0.5628830147260587,0.49591285489859516,-0.006025726506128234
xgboost,9598,0.5058345488643468,0.5219002695417789,0.6192284629222466,0.5664137489715696,0.49797688307581284,0.0016460252187969948
